        11
         1      0.00      0.00
         2      0.00      3.00
         3      2.40      0.00
         4      2.40      3.00
         5      4.80      0.00
         6      4.80      3.00
         7      7.20      0.00
         8      7.20      3.00
         9      9.60      0.00
        10      9.60      3.00
        11     12.00      3.00
        19
         1         1         2  1
         2         1         3  1
         3         1         4  1
         4         2         4  1
         5         3         4  1
         6         3         5  1
         7         3         6  1
         8         4         6  1
         9         5         6  1
        10         5         7  1
        11         5         8  1
        12         6         8  1
        13         7         8  1
        14         7         9  1
        15         7        10  1
        16         8        10  1
        17         9        10  1
        18         9        11  1
        19        10        11  1
         1
         1         200.0E9     0.00010
         3
         4      0.00    -126.00E3
         8      0.00    -126.00E3
        11      72.0E3     0.00
         2 
         1         1         1     0.0000     0.0000
         9         0         1     0.0000     0.0000
         
         


